,feature,n,IQR_n_outliers,IQR_outlier_%,IQR_min,IQR_max,IQR_lower_bound,IQR_upper_bound,Z_n_outliers,Z_outlier_%,Z_min,Z_max,Z_lower_bound,Z_upper_bound
87,03020013,2513,18,0.716275368085953,124.9575,129.2918,127.28850000000003,129.28689999999997,13,0.5173099880620772,124.9575,129.2918,-3,3
202,04630001,4054,29,0.7153428712382831,146.1908,155.325375,144.97474562499997,154.88189062499998,8,0.19733596447952642,146.1908,155.325375,-3,3
204,04646001,2197,15,0.6827492034592627,22.5275,23.9008,22.670099999999998,23.7541,8,0.36413290851160673,22.5275,23.9008,-3,3
178,04060002,2531,17,0.6716712761754247,214.3453,215.4234,214.308825,215.30902499999996,2,0.07902015013828526,214.3453,215.4234,-3,3
138,03090007,2726,18,0.6603081438004402,87.696,92.03999999999999,89.64949999999999,91.8535,15,0.5502567865003668,87.696,92.03999999999999,-3,3
93,03030001,5454,36,0.6600660066006601,15.8293,16.2371,15.849872874999997,16.201595875000002,2,0.03667033370003667,15.8293,16.2371,-3,3
77,03020003,4410,29,0.6575963718820862,105.0558,106.4147,105.16224999999997,106.55605000000003,9,0.20408163265306123,105.0558,106.4147,-3,3
254,07007001,6816,43,0.630868544600939,15.24,18.77,14.972403624999997,18.088660625000003,8,0.11737089201877934,15.24,18.77,-3,3
23,02160001,5298,32,0.604001510003775,44.7515,47.546377,44.13443812500001,47.233035124999994,5,0.09437523593808984,44.7515,47.546377,-3,3
133,03090002,4567,27,0.5911977227939567,37.89464899999999,39.091537,37.97815074999998,39.30274875000002,2,0.04379242391066346,37.89464899999999,39.091537,-3,3
